Título,Autor(a),ISBN,Género,Estado
Los claustros,Katy Hays,9788492919192,Mystery Thriller & Crime,Not Read
En el corazón del bosque,Kristin Harmel,9788416517916,Historical,Not Read
La viajera nocturna,Armando Lucas Correa,9788466672689,Historical,Not Read
Abejas Grises,Andrei Kurkov,9789563843576,Historical,Not Read
La lista de la suerte,Rachael Lippincott,9789569476570,Contemporary,Not Read
Los rebeldes,Sándor Marai,9788498382136,Historical,Not Read
La luz después de la guerra,Anita Abriel,9788491293774,Historical,Not Read
Hijas de la resistencia,Judy Batalion,9788432239533,Non-Fiction,Not Read
La única elegida,Kiersten White,9788492918874,Fantasy,Not Read
La paga de los soldados,William Faulkner,9789962724100,Historical,Not Read
El puente de Clay,Markus Zusak,9788426405906,Historical,Not Read
Ha vuelto,Timur Vermes,9788432224058,Humor,Not Read
Mi Ucrania,Victoria Belim,9789566058489,Historical,Not Read
Lennox,Craig Russell,9788499181073,Mystery Thriller & Crime,Not Read
En nuestros corazones éramos gigantes,Yehuda Koren,9789879317983,Non-Fiction,Not Read
Hhhh,Laurent Binet,9786070762581,Historical,Not Read
La voz de los valientes,Rafael Tarradas Bultó,9788467068542,Historical,Not Read
"Yo, Dita Kraus, La bibliotecaria de Auschwitz",Dita Kraus,9788418557620,Historical,Not Read
Todas las piezas rotas,John Boyne,9789566075325,Historical,Not Read
Las cocineras de Fenley,Jennifer Ryan,9788419449795,Historical,Not Read
Las costureras de Auchwitz,Lucy Adlington,9789564081502,Historical,Not Read
El chico sobre la caja de madera,Leon Leyson,9789876127950,Historical,Not Read
Una librería en Berlín,Francoise Frenkel,9789563602838,Historical,Not Read
Los nazis sabían mi nombre,Magda Hellinger Maya Lee,9789566063841,Historical,Not Read
Un océano entre nosotros,Gill Thompson,9788418538681,Historical,Not Read
Cuando el mundo era joven,Carmen Korn,9789564081229,Historical,Not Read
La mujer de la estrella azul,Pan Jenoff,9788491397045,Historical,Not Read
Las hijas de la guerra,Brigitte Riebe,9788466667876,Historical,Not Read
La chica que escapó de Auschtwitz,Ellie Midwood,9788419283061,Historical,Not Read
La postal,Anne Berest,9788426422859,Historical,Not Read
La enfermera de Auschwitz,Anna Stuart,9788419620026,Historical,Not Read
La guerra de Courtney,Wilbur Smith,9789500440509,Mystery Thriller & Crime,Not Read
Antes de que se enfríe el café,Toshizaku Kawaguchi,9789506446567,Contemporary,Not Read
Less,Andrew Sean Greer,9788491814269,Contemporary,Not Read
La vida privada de Stalin,Lilly Marcou,9789500207201,Non-Fiction,Not Read
El sol y la mentira,Iria G. Parente Selene M. Pascual,9788418440045,Fantasy,Not Read
Secretos de la luna llena 3:Despedidas [Reedición],Iria G. Parente Selene M. Pascual,9788419478474,Fantasy,Not Read
Una tormenta de fuego (Suspiro negro #1),Paula Gallego,9788418274909,Fantasy,Not Read
Una tormenta de cenizas (Suspiro negro #2),Paula Gallego,9788418539657,Fantasy,Not Read
Príncipe de la traición,Paula Gallego,9788419147349,Fantasy,Not Read
Secretos de la luna llena 2:Encuentros [Reedición],Iria G. Parente Selene M. Pascual,9788419478467,Fantasy,Not Read
Secretos de la luna llena 1: Alianzas [Reedición],Iria G. Parente Selene M. Pascual,9788419478450,Fantasy,Not Read
La flor y la muerte (Olympus #1),Iria G. Parente Selene M. Pascual,9788417834883,Fantasy,Not Read
La maldición de los sueños,Rebecca Ross,9788417854720,Fantasy,Not Read
Así que esto no es un felices para siempre,F.T. Lukens,9789566196273,Fantasy,Not Read
Tess del camino,Rachel Hartman,9788416858927,Fantasy,Not Read
La última cazadora,Kiersten White,9788492918553,Fantasy,Not Read
El bosque de las cosas perdidas,Shea Ernshaw,9788492918867,Fantasy,Not Read
Al final mueren los dos,Adam Silvera,9788496886704,Romance,Not Read
Todos somos villanos,M.L. Rio,9788419030474,Mystery Thriller & Crime,Not Read
Cartas desde el olvido,Anna Ellory,9788491397083,Historical,Not Read
Breve Historia de Inglaterra (Simon Jenkins),Simon Jenkins,9788491649694,Non-Fiction,Not Read
Seis Grullas (Six Crimson Cranes #1),Elizabeth Lim,9789507325526,Fantasy,Not Read
El Clan de los Bombarderos,Malcolm Gladwell,9789877370799,Non-Fiction,Not Read
La Traductora,Jose Gil Romero,9788491396482,Historical,Not Read
Ana de Ingleside (Ana de las tejas verdes #6),Lucy Montgomery,9788410206052,Literary,Not Read
Ana y la casa de sus sueños (Ana de las tejas verdes #5),Lucy Montgomery,9788419599315,Literary,Not Read
Ana de álamos ventosos (Ana de las tejas verdes #4),Lucy Montgomery,9788418933486,Literary,Not Read
Ana de la Isla (Ana de las tejas verdes #3),Lucy Montgomery,9788418933479,Literary,Not Read
Ana de Avonlea (Ana de las tejas verdes #2),Lucy Montgomery,9788418395833,Literary,Not Read
Piratas del firmamento,Adriana Criado,9788418539367,Fantasy,Not Read
El Código Rosa,Kate Quinn,9788491397496,Historical,Not Read
Los Lazos de la Tierra,Charlotte Link,9788425358371,Historical,Not Read
Esa vida que imaginamos,Florencia Eluchans,9789569963292,Historical,Not Read
Hotel Savoy. El periplo de una familia,Maxim Wahl,9788467064797,Historical,Not Read
Hotel Savoy. El destino de una familia,Maxim Wahl,9788467064780,Historical,Not Read
La maldición de Excalibur,Kiersten White,9788419252296,Fantasy,Not Read
Una mujer sin importancia,Sonia Purnell,9789563608397,Historical,Not Read
El viaje de Cilka,Heather Morris,9789569956416,Historical,Not Read
Desviación,Luce d'Eramo,9788432233401,Historical,Not Read
Ardenas 1944,Antony Beevor,9788408181514,Non-Fiction,Not Read
La agenda roja,Sofia Lundberg,9788491393269,Historical,Not Read
Soldados del Tercer Reich,Sönke Neitzel,9789879317310,Non-Fiction,Not Read
Los aromas perdidos,Charlotte Link,9788425358364,Historical,Not Read
Auschwitz,Esther Mucznik,9788491642978,Non-Fiction,Not Read
Los niños de Irena,Tilar J. Mazzeo,9789569582776,Historical,Not Read
El silencio de la ciudad blanca (Trilogía de la Ciudad Blanca #1),Eva García Sáenz de Urturi,9788408154167,Historical,Not Read
El libro de los portales,Laura Gallego,9788445002285,Fantasy,Not Read
El pintor de Auschwitz,Jacobo Celnik,9789585549715,Historical,Not Read
Los Custodios del Tiempo,Alyson Richman,9789564082363,Historical,Not Read
Monte Cassino,Sven Hassel,9788415372554,Non-Fiction,Not Read
Operación Castigo,Max Hastings,9788491993384,Non-Fiction,Not Read
Breve historia de Inglaterra (Duncan Townson),Duncan Townson,9788491040767,Non-Fiction,Not Read
El italiano,Arturo Pérez-Reverte,9789877388176,Historical,Not Read
Los señores del tiempo (Trilogía de La Ciudad Blanca #3),Eva García Sáenz de Urturi,9789569963445,Mystery Thriller & Crime,Not Read
La Primera Guerra Mundial,,9788499700427,Non-Fiction,Not Read
El saboteador,Andrew Gross,9786070770616,Historical,Not Read
Pretérito imperfecto,Nieves Concostrina Villarreal,9788491644583,Non-Fiction,Not Read
La última descendiente,Rick Riordan,9788418949166,Fantasy,Not Read
Las invitadas secretas,Benjamin Black,9788491870814,Historical,Not Read
Hitler y el nuevo orden mundial,Abel Basti,9789504974253,Non-Fiction,Not Read
Leningrado,Brian Moynahan,9788416252824,Non-Fiction,Not Read
El jardín italiano,Alyson Richman,9788408261001,Historical,Not Read
El Ladrón Nocturno,E. W. Hornung,9788415215158,Literary,Not Read
Los ritos del agua (Trilogía de la Ciudad Blanca #2),Eva García Sáenz de Urturi,9788408169451,Mystery Thriller & Crime,Not Read
La Resistencia (Memorias de Idhún #1),Laura Gallego,9786073197571,Fantasy,Not Read
Los cuatro vientos,Kristin Hannah,9788491295327,Historical,Not Read
Chiripas de la Historia,Gonzalo Ugidos,9788490605578,Non-Fiction,Not Read
El Código Da Vinci,Dan Brown,9788408095330,Mystery Thriller & Crime,Not Read
Arsene Lupin y la aguja hueca,Maurice Leblanc,9788728024157,Mystery Thriller & Crime,Not Read
La caída del Muro de Berlín,Ricardo Mart,9788491644866,Non-Fiction,Not Read
Verity. La Sombra de un Engaño,Colleen Hoover,9789564082417,Mystery Thriller & Crime,Not Read
El Día más largo,Cornelius Ryan,9788496364004,Non-Fiction,Not Read
Hijos de nazis,Tania Crasnianski,9788491640493,Non-Fiction,Not Read
La Segunda Guerra Mundial,Martin Gilbert,9788497344333,Non-Fiction,Not Read
El oscuro descenso de Elizabeth Frankenstein,Kiersten White,9789877474596,Fantasy,Not Read
Ultimos dias en Berlin,Paloma Sanchez Garnica,9788408249856,Historical,Not Read
Los últimos días de nuestros padres,Joël Dicker,9788420417219,Historical,Not Read
Un tiempo nuevo (El café del Ángel #1),Anne Jacobs,9789566129349,Historical,Not Read
Hijos de la Stasi,David Young,9788491390770,Historical,Not Read
El barco de los muertos (Magnus Chase #3),Rick Riordan,9788490439609,Fantasy,Not Read
Liquidad Paris,Sven Hassel,9788401495908,Non-Fiction,Not Read
La matanza de Rechnitz,Sacha Batthyany,9788432232541,Historical,Not Read
Peter Pan,J. M. Barrie,9788418008146,Literary,Not Read
El último tren a la libertad,Meg Waite Clayton,9788491394679,Historical,Not Read
Lágrimas en el mar,Ruta Sepetys,9788416363780,Mystery Thriller & Crime,Not Read
El vagón de los huérfanos,Pam Jenoff,9788417216221,Historical,Not Read
"Menudas historias de la historia : anécdotas, despropósitos, algaradas y mamarrachadas de la humanidad",Nieves Concostrina,9788497349826,Non-Fiction,Not Read
Violetas de Marzo,Philip Kerr,9788491875079,Historical,Not Read
El Retrato de Dorian Gray,Oscar Wilde,9788417928810,Literary,Not Read
La Luna Sobre El Soho,Ben Aaronovitch,9788417525965,Fantasy,Not Read
El Niño En La Cima de La Montaña,John Boyne,9788498387278,Historical,Not Read
Sombras Quemadas,Kamila Shamsie,9788498383492,Historical,Not Read
El último día de Adolf Hitler,David Solar,9788497342148,Non-Fiction,Not Read
La catadora de Hitler,V.S. Alexander,9786070757822,Historical,Not Read
El triángulo de oro,Maurice Leblanc,9789878466200,Mystery Thriller & Crime,Not Read
Familias fatales,Ben Aaronovitch,9788417525293,Fantasy,Not Read
Madame Bovary,Gustave Flaubert,9788415618843,Literary,Not Read
Nos vemos allá arriba,Pierre Lemaitre,9788498387285,Historical,Not Read
Una Obsesion Perversa,Victoria Schwab,9788492918188,Fantasy,Not Read
Querida señora Bird,A.J. Pearce,9788417541699,Historical,Not Read
Sangre azul,Danielle Steel,9789566129196,Historical,Not Read
"Hitler, los alemanes y la solución final",Ian Kershaw,9788497348348,Non-Fiction,Not Read
Una Venganza Mortal,Victoria Schwab,9788492918676,Fantasy,Not Read
De noche sueño con la paz,Caroline Ulreich,9788491640837,Non-Fiction,Not Read
"Arsenio Lupin, caballero-ladrón",Maurice Leblanc,9788418557439,Literary,Not Read
Un Rio Encantado,Rebecca Ross,9788416517824,Fantasy,Not Read
El Secreto de las Nubes,Alyson Richman,9789563609028,Historical,Not Read
Diario,Hélène Berr,9788433973665,Historical,Not Read
Cuentos de Los Hermanos Grimm,Wilhelm Grimm,9788415618706,Literary,Not Read
La estación de las tormentas (La estación de las tormentas 1),Charlotte Link,9788425358746,Historical,Not Read
Crónica de la Guerra Europea 1914-1918,Vicente Blasco Ibáñez,9788490600399,Non-Fiction,Not Read
El tatuador de Auschwitz,Heather Morris,9788467053616,Historical,Not Read
El Castillo Negro,Gaston Leroux,9788415215301,Literary,Not Read
La Sombra del Viento,Carlos Ruiz Zafón,9788408163435,Mystery Thriller & Crime,Not Read
Las mujeres de la orquesta roja,Jennifer Chiaverini,9788491395874,Historical,Not Read
El Último Mago,Lisa Maxwell,9789877473568,Fantasy,Not Read
Las Aguas Rebeldes,Sara Raasch,9788492918324,Fantasy,Not Read
Las furias invisibles del corazón,John Boyne,9788418107795,Historical,Not Read
La red de Alice,Kate Quinn,9788491292920,Historical,Not Read
La princesa de invierno,Paula Gallego,9788419147080,Fantasy,Not Read
Reinos de cristal (Marabilia #5),Iria G. Parente Selene M. Pascual,9788417834371,Fantasy,Not Read
