Título,Autor(a),ISBN,Género,Estado
Blanco Como La Nieve,Salla Simukka,9788494185717,Mystery Thriller & Crime,Read
Me llamo Lumikki 3. Negro como el ébano,Salla Simukka,9788494185731,Mystery Thriller & Crime,Read
Oliver y Max,Ángela Armero Biadiu,9788415594246,Historical,Read
Heidi,Johanna Spyri,9788417430108,Literary,Read
El Perro de Los Baskerville,Arthur Conan Doyle,9788415618775,Literary,Read
Nick y Charlie,Alice Oseman,9789877478242,Romance,Read
El hombre en el castillo (Edición mexicana),Philip K. Dick,9786070772825,Dystopian,Read
Los misterios del Imperio Nazi: Historias sorprendentes del Tercer Reich desde su auge hasta su caída,Marius Lambert,9788499173962,Non-Fiction,Read
Alicia,Lewis Carrol,9788418008177,Literary,Read
Algunas Heridas Nunca Se Curan,Nele Neuhaus,9788415893370,Mystery Thriller & Crime,Read
Blancanieves debe morir,Nele Neuhaus,9786077351009,Mystery Thriller & Crime,Read
Lucharon En Batallas Decisivas,Pedro Pablo Garc May,9788499173306,Non-Fiction,Read
Un Dueto Oscuro,Victoria Schwab,9788496886964,Fantasy,Read
Rojo Como La Sangre,Salla Simukka,9788494080197,Mystery Thriller & Crime,Read
Dunkerque,Joshua Levine,9788491391739,Non-Fiction,Read
La guerra no tiene rostro de mujer,Svetlana Alexiévich,9789569545207,Non-Fiction,Read
El misterio de las cuatro cartas,Sophie Hannah,9788467055740,Mystery Thriller & Crime,Read
Si No Despierto,Lauren Oliver,9788413141060,Romance,Read
El Engaño de la Princesa,Kiersten White,9788492918881,Fantasy,Read
Animales Fantásticos Y Dónde Encontrarlos / Fantastic Beasts & Where to Find Them,J.K Rowling,9788498387940,Fantasy,Read
Los Cuentos de Beedle el Bardo / the Tales of Beedle the Bard,J.K Rowling,9788498387933,Fantasy,Read
"El libro del soldado de la Wehrmacht: La historia, armas y uniformes de los ejércitos de Hitler",Pablo Sagarra Renedo,9788490609460,Non-Fiction,Read
Submarinos,Manuel J. Prieto,9788499173771,Non-Fiction,Read
Operación Barbarroja,Christian Hartmann,9788491644118,Non-Fiction,Read
La Vida Invisible de Addie Larue,Victoria Schwab,9788416517374,Fantasy,Read
La Espía,Danielle Steel,9788401025518,Historical,Read
Hooky (Hooky #1),Míriam Bonastre Tur,9780358468301,Fantasy,Read
El baile de las luciérnagas,Kristin Hannah,9789569585791,Contemporary,Read
Bajo un cielo escarlata,Mark Sullivan,9788491292982,Historical,Read
Grandes Batallas: Conflictos decisivos que han conformado la historia,Christer Jorgensen,9781527000445,Non-Fiction,Read
Las grandes batallas de la Segunda Guerra Mundial,Chris Mann,9781527000452,Non-Fiction,Read
Mi Policia,Bethan Roberts,9789564080956,Historical,Read
La resistencia contra los nazis,Herve Barre,9788499173559,Non-Fiction,Read
Comandos y raids,Pere Romanillos,9788499173504,Non-Fiction,Read
Ases de la Luftwaffe en la Segunda Guerra Mundial,Philip Kaplan,9788491640899,Non-Fiction,Read
La guerra en el mar,José Luis Caballero,9788499174105,Non-Fiction,Read
El héroe perdido (Los héroes del Olimpo #1),Rick Riordan,9788490430569,Fantasy,Read
Una canción salvaje,Victoria Schwab,9788496886896,Fantasy,Read
Un cuento perfecto,Elísabet Benavent,9788491291923,Romance,Read
Tiempos gloriosos (La mansión #1),Anne Jacobs,9789506445331,Historical,Read
La Biblioteca de París,Janet Skeslien Charles,9788418107931,Historical,Read
Heartstopper 1,Alice Oseman,9788804723967,Romance,Read
El largo camino a casa,Alan Hlad,9789569973093,Historical,Read
El mago supremo,Charlie N. Holmberg,9788416224357,Fantasy,Read
El mago de cristal,Charlie N. Holmberg,9788417525880,Fantasy,Read
El mago de papel,Charlie N. Holmberg,9788416224272,Fantasy,Read
