titulo,autor
TRAS LA NOCHE,LINDA HOWARD
TRAS LA PUERTA,J. D. BARKER
TREN BALA,KŌTARŌ ISAKA
TRONO DE LOS CAIDOS,KERRI MANISCALCO
TRONO DE MONSTRUOS,KERRI MANISCALCO
EL TRONO DEL PRISIONERO,HOLLY BLACK
TU,CAROLINE KEPNES
TU ENEMIGA SECRETA,SARAH ADAMS
TU Y OTROS DESASTRES NATURALES,MARIA MARTINEZ
TWISTED GAMES,ANA HUANG
TWISTED HATE,ANA HUANG
TWISTED LIES,ANA HUANG
TWISTED LOVE,ANA HUANG
UGLY LOVE,COLLEEN HOOVER
UN MAR SIN ESTRELLAS,ERIN MORGENSTERN
UN PASE AL CORAZON,MEGHAN QUINN
UN SEGUNDO PARA AMAR,MARIA MARTINEZ
UN VERANO EN EL CAMPAMENTO,JENNY COLGAN
UN VERANO EN NUEVA YORK,SARAH MORGAN
UNA CANCION SALVAJE,VICTORIA SCHWAB
UNA CATASTROFICA VISITA AL ZOO,INMA RUBIALES
UNA CITA EN EL INFIERNO,SARAH RIVENS
UNA CORTE DE ROSAS Y ESPINAS,SARAH J. MAAS
UNA DE LOS SUYOS,ROSE L. MCCARNEY
UNA HISTORIA DIVERTIDA,EMILY HENRY
UNA LUNA SIN MIEL,CHRISTINA LAUREN
UNA NUEVA OPORTUNIDAD,COLLEEN HOOVER
UNA PROMESA DE CIEN AñOS,SARAH JIO
UNA PUERTA EN LA SOMBRA,ALICIA ACOSTA
VERITY,COLLEEN HOOVER
VUELVE EN ENERO,JOANA MARCUS
WILDER,REBECCA YARROS
"YO EN TU CASA, TU EN LA MIA",BETH O'LEARY
"TU, YO Y EL SUPER BOWL",TRACY WOLFF
LA SEGUNDA MUERTE DE LOCKE,MARINA TENA TENA
CUENTOS VICTORIANOS DE FANTASMAS PARA NAVIDAD,VARIOS AUTORES
NO ERES MI ALMA GEMELA,ELENA ARMAS
JUEGO DE DOS,ALI HAZELWOOD
ALFA,ALI HAZELWOOD
HIJA DE NINGUN MUNDO,CARISSA BROADBENT
SCYTHE AND SPARROW,BRYNNE WEAVER
LA MARCA DEL DRAGON,ARTHYFICE
TODAS LAS HISTORIAS LLEVAN TU NOMBRE,ANDREA LONGARELA
METAL SLINGER,RACHEL SCHNEIDER
NOVIA,ALI HAZELWOOD
TODOS LOS DEMONIOS DEL CIELO,MIRIAM MOSQUERA
TODOS LOS ANGELES DEL INFIERNO,MIRIAM MOSQUERA
UNA VIDA MARAVILLOSA,EMILY HENRY
MIS LUNES CON AROMA A MATCHA,MICHIKO AOYAMA
FURIA,TRACY WOLFF
EL GUARDIAN DE ESPADAS,CASSANDRA CLARE
UN AMIGO GRATIS,INMA RUBIALES
LEGACY: DONDE TODO COMIENZA,REBECCA YARROS
CAIDA LIBRE,ALI HAZELWOOD
CIEN DESAFIOS,NATALIE MAR
SHANGAI INMORTAL,A.Y CHAO
LA CHICA DE MIS SUEÑOS,TESSA BAILEY
UNA CORTE DE ALAS Y RUINA ,SARAH J. MAAS
QUICKSILVER,CALLIE HART
REY ENTRE SOMBRAS,MELISSA LANDERS
ELITE PLATEADA,DANI FRANCIS
ALAS DE SANGRE,REBECCA YARROS
ORGULLO Y PREJUICIO,JANE AUSTEN
¿QUE SE SIENTE?,JENEANE O'RILEY
UN TRATO CON EL REY DE LOS ELFOS ,ELISE KOVA
CREEDENCE,PENELOPE DOUGLAS
UN PODER DESATADO,FREYA MARSKE
LA REINA,JENNIFER ARMENTROU
EL CLUB DEL OLVIDO,ALICE KELLEN
DONDE HABITAN LAS SIRENAS,MARIA MARTINEZ
ANTES DE IRME,TILLIE COLE
FELICES PARA SIEMPRE,LYNN PAINTER
TRIADA: AUNQUE EL INFIERNO ME CONSUMA,CAROL S. BROWN
PELIGRO,ST ABBY
PERDIENDO EL CONTROL,LIZ TOMFORDE
SIGUIENDO EL JUEGO,LIZ TOMFORDE
JUGANDO FUERTE,LIZ TOMFORDE
"ABRAZAME, QUE NO TE QUIERO",IRENE FERB
LA CASA DE LOS ALETEOS,OLIVIA WILDENSTEIN
"TU SANGRE, MIS HUESOS",KELLY ANDREW
EL PERFUME DEL REY,KARINE BERNAL
SANGRE DE DRAGON,BRIAR BOLEYN
BLACK BIRD ACADEMY: MUERTE A LA OSCURIDAD,STELLA TACK
UNA CORTE DE ALAS Y RUINA ,SARAH J. MAAS
PARAISO PERVERSO,MAR PETRYK
UN AMOR DE NOVELA,ASHLEY POSTON
CUANDO TE ATREVAS A SENTIR,TAMARA MOLINA
ECHAR EL LAZO,LYLA SAGE
TE ENCUENTRO EN EL TIEMPO,ROSE MERINO
ENTRE CENIZAS ROJAS,MAR PETRYK
CRIATURAS DESPIADADAS,J.T GEISSINGER
SINNERS ANONYMOUS,SOMME SKETCHER
EL SONIDO DEL AMOR,ASHLEY POSTON
LA MANSION DE RAYNE,HARLEY LAROUX
LO FRAGIL Y LO ETERNO,BRUNO PUELLES
SKATE INTO ME,MORINA ESTRINGANA
UNA INFINIDAD DE SUEÑOS,MARA RUTHERFORD
"TU, YO Y NUESTRA COSTUMBRENDE ENREDAR LAS COSAS",NEREA CABALEIRO
ESCUDO DE GORRIONES,DEVNEY PERRY
RAZIEL,MAXIMILIANO AYLWIN
KHAOS,CHANYS A. WILSON
UN LUGAR FELIZ,EMILY HENRY
SUNRISE: EL ULTIMO AMANECER,ANNA TODD
UN BESO OSCURO,REBECCA ZANETTI
LOS AMANTES DE PRAGA,ALYSON RICHMANN
NO ME LLAMES LOCA,GILRAEN EARFALAS
VIAJANDO CON MEGAN MAXWELL,MEGAN MAXWELL
AMOR FUERA DE SERIE,NEREA PASCUAL
BLOOM,KEVIM PANETTA
TE RECETO OTRO GATO,SYOU ISHIDA
EL SECRETO DE LA NIÑERA,SIDONIE BONNEC
CASA DE CORAZONES,SKYLA ARDNT
NIGHTSHADE,AUTUMN WOODS
PUNK 57,PENELOPE DOUGLAS
EL COLECCIONISTA DE HISTORIAS,ALYSON RICHMAN
SI FUERAMOS ETERNOS,EMMA GIL
HUNDIDA,COLLEN HOOVER
LA TEORIA DEL ODIO,IÑIGO AGUAS
EL FARO DE LOS AMORES DORMIDOS,ANDREA LONGARELA
REVOLVE,BAL KHABRA
