TÍTULO,AUTOR,EDICIÓN,ISBN
Conjuro de luz (Sombras de magia 3),V.E. Schwab,Tapa blanda,9789569963568
Una magia más oscura (Sombras de magia 1),V.E. Schwab,Tapa blanda,9789569963544
Una obsesión perversa (Villains 1),V.E. Schwab,Tapa blanda,9788492918188
Una venganza mortal (Villains 2),V.E. Schwab,Tapa blanda,9788492918676
El intruso: Los sueños de Lumière,Valentina Carvajal Leiva,Tapa blanda,9788417856069
El horror,Valeria Luna,Tapa blanda,9789564082295
Una canción salvaje (Monsters of Verity 1),Victoria Schwab,Tapa blanda,9788496886896
Un beso bajo la lluvia,Violeta Boyd,Tapa blanda,9788417589554
Una Habitación Propia,Virginia Woolf,Tapa dura,9789563606645
Tokyo Revengers (1),"Wakui, Ken; Ferreyra, Nathalia",Tapa blanda,9788419010230
El Rey leon,Walt Disney Company,Tapa blanda,9788440650405
Cuentos de los hermanos Grimm,Wilhelm Grimm y Jacob Grimm,Tapa dura,9788418008184
Rebasados = Overshoot,William R. Catton Jr.,Tapa blanda,9786074002966
Hamlet,William Shakespeare,Tapa dura,9789563161281
Hambre,Xelsoi,Tapa blanda,9789566240075
La Pequeña Trapecista. Una batalla contra el cáncer infantil,Ximena Abogabir Scott,Tapa blanda,9789563040340
Balada del terror,Yael Medini,Tapa blanda,9789879333297
Paradise Kiss,"Yazawa, Ai",Tapa blanda,9789871071883
Paradise Kiss,"Yazawa, Ai",Tapa blanda,9789871071784
Paradise Kiss,"Yazawa, Ai",Tapa blanda,9789871071524
