titulo,autor,genero,editorial,precio,stock,encuadernacion
LA FAN NUMERO 1,INMA RUBIALES,ROMANCE,PLANETA,0,0,
LA HIJA DEL RELOJERO,LARRY LOFTIS,HISTORICO,PLANETA,0,0,
LA HORA AZUL,ALFONSO GOIZUETA,HISTORICO,PLANETA,0,0,
LA LIBRERIA DE LADY DESTINO,GEORGIA SUMMERS,FANTASIA,URANO,0,0,
LA LIBRERIA DE LOS VIERNES,SAWAKO NATORI,FICCION GENERAL,ESPASA,0,0,
LA MAGIA DE LAS CASUALIDADES,MEGAN MAXWELL,ROMANCE,PLANETA,0,0,
LA MALDICION DE LA SANGRE,HANNAH KANER,FANTASIA,URANO,0,0,
LA MECANICA DEL AMOR,ALEXENE FAROL FOLLMUTH,ROMANCE,URANO,0,0,
LA NIñA SALVAJE,KRISTIN HANNAH,FICCION GENERAL,SUMA DE LETRAS,0,0,
LA NOVIA EQUIVOCADA,CATHARINA MAURA,ROMANCE,ESPASA,0,0,
LA PRINCESA ENCANTADA,DAWN BROWER,ROMANTASY,PLANETA,0,0,
LA QUIMICA DEL AMOR,ALI HAZELWOOD,ROMANCE,CONTRALUZ,0,0,
LA SONRISA DEL DEMONIO,TRACY WOLFF,ROMANTASY,PLANETA,0,0,
LA TEORIA DEL AMOR,ALI HAZELWOOD,ROMANCE,CONTRALUZ,0,0,
BESAME EN MITAD DE LA TORMENTA,SARAI MARTIN,ROMANCE,ZIG ZAG,0,1,
LA ULTIMA CARTA,PEDRO RUIZ,OTRO,PLANETA PUBLISHING CORPORATION,0,0,
LA ULTIMA CUENTISTA,DONNA BARBA HIGUERA,CIENCIA FICCION,CHRONICLE BOOKS,0,0,
LA ULTIMA VEZ QUE PIENSO EN TI,BLUE JEANS,THRILLER,PLANETA,0,0,
LADY MACBETH,AVA REID,HISTORICO,URANO,0,0,
LARGA VIDA AL REY,JENNIFER L. ARMENTROUT,ROMANTASY,URANO,0,0,
LAS CENIZAS Y EL REY MALDITO,CARISSA BROADBENT,ROMANTASY,PLANETA,0,1,
LAS COSAS MAS PRECIOSAS,REBECCA YARROS,ROMANCE,PLANETA,0,1,
LAS HERMANAS BLUE,COCO MELLORS,FICCION GENERAL,URANO,0,0,
LAS SIRENAS,EMILIA HART,FANTASIA,URANO,0,1,
LAYLA,COLLEEN HOOVER,ROMANCE,PLANETA,0,3,
LA LECTURA DEL VERANO,EMILY HENRY,ROMANCE,PLANETA,0,0,
LLEVAME A CUALQUIER LUGAR,ALICE KELLEN,ROMANCE,PLANETA,0,0,
LO QUE LA NIEVE SUSURRA AL CAER,MARIA MARTINEZ,ROMANCE,PLANETA,0,1,
LOS BRUJOS DEL FIN DEL MUNDO,MIGUEL FERRADA,FANTASIA,URANO,0,0,
LOS DOS AMORES DE MI VIDA,TAYLOR JENKINS REID,ROMANCE,URANO,0,0,
LOS JUEGOS DEL HAMBRE,SUZANNE COLLINS,DISTOPIA,MOLINO (RBA),0,0,
LOS SIETE MARIDOS DE EVELYN HUGO,TAYLOR JENKINS REID,FICCION GENERAL,URANO,0,0,
LOS ULTIMOS DIAS DE CLAYTON & CO,FRANCISCA HERAS,THRILLER,PLANETA,0,0,
MADAME BOVARY,GUSTAVE FLAUBERT,CLASICOS,ALIANZA,0,0,
MAGIA EN LA CALLE NAVIDAD,IVY PEMBROKE,ROMANCE,URANO,0,1,
UN MAPA DE TIERRAS EXTRAñAS,ALWYN HAMILTON,FANTASIA,PLANETA,0,0,
MAS QUE UNA POSIBILIDAD,MARIA MARTINEZ,ROMANCE,PLANETA,0,0,
MASCARA DE GATO,FRANCESCA ZAPPIA,FANTASIA,URANO,0,0,
MAXTON HALL,MONA KASTEN,ROMANCE,PLANETA,0,0,
MEDIUM,SILVIA ROSSI,THRILLER,AUTOPUBLICADO,0,0,
MEJOR QUE EN LAS PELICULAS,LYNN PAINTER,ROMANCE,URANO,0,0,
LA MELODIA DE LA MEMORIA,ALYSON RICHMAN,HISTORICO,PLANETA,0,0,
MENTIRAS A DOBLE FILO,CARISSA BROADBENT,ROMANTASY,URANO,0,0,
MENU PARA DOS,CASEY MCQUISTON,ROMANCE,MOLINO,0,0,
LA MESA DE LOS SOLTEROS,VI KEELAND,ROMANCE,CHIC EDITORIAL,0,0,
MI NOMBRE ES EMILIA DEL VALLE,LORENA PRONSKY,FICCION GENERAL,PLANETA,0,0,
MI QUERIDO RIVAL,ALEXANDRA MOODY,ROMANCE,ALFAGUARA IJC,0,0,
MIL RECUERDOS TUYOS,INMA RUBIALES,ROMANCE,PLANETA,0,0,
NADA COMO EN LAS PELICULAS,LYNN PAINTER,ROMANCE,URANO,0,0,
NADA DE ESTO ES VERDAD,LISA JEWELL,THRILLER,PLANETA,0,0,
NAVIDAD FUN,MEGAN MAXWELL,ROMANCE,PLANETA,0,0,
NEGOCIOS O PLACER,RACHEL LYNN SOLOMON,ROMANCE,URANO,0,0,
NIGHTFALL,PENELOPE DOUGLAS,DARK ROMANCE,CHIC EDITORIAL,0,0,
NO CONFIES EN ASHER HALL,J. S. LARK,THRILLER,CHIC EDITORIAL,0,0,
NO DEBERIAMOS,VI KEELAND,ROMANCE,CHIC EDITORIAL,0,0,
NO DEBIA SER ASI,INMA RUBIALES,ROMANCE,PLANETA,0,0,
NO ES AMOR,ALI HAZELWOOD,ROMANCE,CONTRALUZ,0,0,
NO ESTAS EN LA LISTA,ALISON ESPACH,FICCION GENERAL,V&R EDITORAS,0,0,
NOCHE DE CABALLEROS,ALEXENE FAROL FOLLMUTH,ROMANCE,URANO,0,0,
NOSOTROS EN LA LUNA,ALICE KELLEN,ROMANCE,PLANETA,0,0,
NOVA,REBECCA YARROS,ROMANCE,V&R EDITORAS,0,1,
NUESTRA DESQUICIADA HISTORIA DE AMOR,KANDI STEINER,ROMANCE,CHIC EDITORIAL,0,0,
NUESTRO LARGO ADIOS,MEGAN MAXWELL,ROMANCE,PLANETA,0,0,
NUESTRO LUGAR EN EL MUNDO,ALICE KELLEN,ROMANCE,PLANETA,0,0,
UN NUEVO ENGAÑO,CARMEN ARANDA,ROMANCE,AUTOPUBLICADO,0,0,
NUNCA OLVIDES QUE TE QUIERO,"NICHOLAS SPARKS, M. NIGHT SHYAMALAN",ROMANCE,ROCA EDITORIAL,0,0,
OJALA ESTA FUERA NUESTRA HISTORIA DE AMOR,ANDREA LONGARELA,ROMANCE,ESENCIA,0,0,
"OYE, DIABLA",JULIA DE LA FUENTE,ROMANTASY,URANO,0,1,
PABELLON 57,CARLOS BASSO,THRILLER,PLANETA,0,0,
UN PACTO ELECTRIZANTE,MEGHAN QUINN,ROMANCE,CHIC EDITORIAL,0,0,
PECADOR,SIERRA SIMONE,SPICY,CHIC EDITORIAL,0,0,
PERDIDO,DEVNEY PERRY,ROMANCE,CHIC EDITORIAL,0,0,
PESADILLA EN NAVIDAD,TIM BURTON,FANTASIA,PLANETA,0,0,
PRIMER AMOR,IVAN TURGUENEV,CLASICOS,ALIANZA,0,0,
PROMESAS OSCURAS,CHRISTINE FEEHAN,ROMANTASY,URANO,0,0,
PUCKING AROUND,EMILY RATH,SPICY,CHIC EDITORIAL,0,0,
QUE ENTIERREN NUESTROS HUESOS EN LA MEDIANOCHE,V. E. SCHWAB,FANTASIA,URANO,0,0,
QUEDARA EL AMOR,ALICE KELLEN,ROMANCE,PLANETA,0,0,
QUERIDO VECINO,PENELOPE WARD,ROMANCE,URANO,0,1,
QUIZAS EN OTRA VIDA,TAYLOR JENKINS REID,ROMANCE,URANO,0,0,
"RECUERDAME, ALICE",MARTA SANTES,ROMANCE,URANO,0,0,
REINA DEL ESTIO,CARMEN ROMERO LORENZO,FANTASIA,URANO,0,1,
REY DE LA CODICIA,ANA HUANG,ROMANCE,PLANETA,0,0,
REY DE LA DESIDIA,ANA HUANG,ROMANCE,PLANETA,0,0,
REY DE LA IRA,ANA HUANG,ROMANCE,PLANETA,0,0,
REY DE LA SOBERBIA,ANA HUANG,ROMANCE,PLANETA,0,0,
ROMPER EL CIRCULO,COLLEEN HOOVER,ROMANCE,PLANETA,0,0,
UNA ROSA MALDITA,REBECCA ZANETTI,DARK ROMANCE,URANO,0,2,
ROSE IN CHAINS,SARAH RIVENS,ROMANTASY,PLANETA,0,2,
SAY YOU SWEAR,MEAGAN BRANDY,ROMANCE,CHIC EDITORIAL,0,0,
SECRETO,L. J. SHEN,ROMANCE,CHIC EDITORIAL,0,0,
EL SECRETO DE SU MENTE,MARIE BENEDICT,HISTORICO,PLANETA,0,0,
LOS SECRETOS DEL HOTEL JARDIN DE ODETTE,BRUNO PUELES,THRILLER,URANO,0,0,
SEIS GRULLAS,ELIZABETH LIM,FANTASIA,PLANETA,0,0,
SEIS LITROS PROMEDIO,J. S. LARK,THRILLER,CHIC EDITORIAL,0,0,
LA SERPIENTE Y LAS ALAS DE LA NOCHE,CARISSA BROADBENT,ROMANTASY,PLANETA,0,0,
SI FUERAMOS ETERNOS,EMMA GIL,ROMANCE,MARTINEZ ROCA,0,0,
SIEMBRA NEGRA,JESUS DIAMANTINO,TERROR Y HORROR,URANO,0,3,
SIEMPRE FUISTE TU,MADELINE BAKER,ROMANCE,HARLEQUIN,0,0,
SIGHT UNSEEN,ALEXIS MARIE,ROMANTASY,PLANETA,0,1,
UNA SONATA DE VERANO,JULIA QUINN,HISTORICO,URANO,0,0,
SONO UN VIOLIN EN PARIS,MARIA REIG,HISTORICO,ESPASA,0,0,
SPIRAL,BAL KHABRA,ROMANCE,VERA ROMANTICA,0,0,
TE ODIO CON AMOR,JO WATSON,ROMANCE,LIBROS DE SEDA,0,0,
