Título,Autor(a)
Ladrona de Libros,Markus Zusak
El pecador de Oxford,Mar Petryk
La Segunda Guerra Mundial (I),Sir Winston Churchill
Invierno en tiempo de guerra,Jan Terlouw
Sin novedad en el frente,Erich Maria Remarque
El hombre de tiza,C.J. Tudor
Antología de cuentos cortos,VV. AA
Historias Chilenas de Fantasmas,César Parra
La historia secreta del Día D: La verdad sobre los superespías que engañaron a Hitler,Ben Macintyre
La Casa del Propósito Especial,John Boyne
Quédense en la trinchera y luego corran,John Boyne
El niño con el pijama de rayas,John Boyne
La Lección De August,R. J. Palacio
Hubo una vez una guerra (bolsillo),John Steinbeck
Ariadna,Jennifer Saint
Tiempos de tormenta (La mansión #2),Anne Jacobs
La sociedad literaria y del pastel de piel de patata Guernsey,Mary Ann Shaffer
Blanco Como La Nieve,Salla Simukka
Me llamo Lumikki 3. Negro como el ébano,Salla Simukka
Oliver y Max,Ángela Armero Biadiu
Heidi,Johanna Spyri
El Perro de Los Baskerville,Arthur Conan Doyle
Nick y Charlie,Alice Oseman
El hombre en el castillo (Edición mexicana),Philip K. Dick
Los misterios del Imperio Nazi: Historias sorprendentes del Tercer Reich desde su auge hasta su caída,Marius Lambert
Alicia,Lewis Carrol
Algunas Heridas Nunca Se Curan,Nele Neuhaus
Blancanieves debe morir,Nele Neuhaus
Lucharon En Batallas Decisivas,Pedro Pablo Garc May
Un Dueto Oscuro,Victoria Schwab
Rojo Como La Sangre,Salla Simukka
Dunkerque,Joshua Levine
La guerra no tiene rostro de mujer,Svetlana Alexiévich
El misterio de las cuatro cartas,Sophie Hannah
Si No Despierto,Lauren Oliver
El Engaño de la Princesa,Kiersten White
Animales Fantásticos Y Dónde Encontrarlos / Fantastic Beasts & Where to Find Them,J.K Rowling
Los Cuentos de Beedle el Bardo / the Tales of Beedle the Bard,J.K Rowling
"El libro del soldado de la Wehrmacht: La historia, armas y uniformes de los ejércitos de Hitler",Pablo Sagarra Renedo
Submarinos,Manuel J. Prieto
Operación Barbarroja,Christian Hartmann
La Vida Invisible de Addie Larue,Victoria Schwab
La Espía,Danielle Steel
Hooky (Hooky #1),Míriam Bonastre Tur
El baile de las luciérnagas,Kristin Hannah
Bajo un cielo escarlata,Mark Sullivan
Grandes Batallas: Conflictos decisivos que han conformado la historia,Christer Jorgensen
Las grandes batallas de la Segunda Guerra Mundial,Chris Mann
Mi Policia,Bethan Roberts
La resistencia contra los nazis,Herve Barre
Comandos y raids,Pere Romanillos
Ases de la Luftwaffe en la Segunda Guerra Mundial,Philip Kaplan
La guerra en el mar,José Luis Caballero
El héroe perdido (Los héroes del Olimpo #1),Rick Riordan
Una canción salvaje,Victoria Schwab
Un cuento perfecto,Elísabet Benavent
Tiempos gloriosos (La mansión #1),Anne Jacobs
La Biblioteca de París,Janet Skeslien Charles
Heartstopper 1,Alice Oseman
El largo camino a casa,Alan Hlad
El mago supremo,Charlie N. Holmberg
El mago de cristal,Charlie N. Holmberg
El mago de papel,Charlie N. Holmberg
Antología de Relatos Románticos Tormentosos,VV. AA
El Extraño Caso de Dr. Jekyll y Mr. Hyde,Robert L. Stevenson
Hetalia Axis Power Volumen 2,Himaruya Hidekaz
Hetalia Axis Power Volumen 4,Himaruya Hidekaz
Hetalia Axis Power Volumen 1,Himaruya Hidekaz
Hetalia Axis Power Volumen 3,Himaruya Hidekaz
El último héroe del Olimpo (Percy Jackson y los dioses del Olimpo 5),Rick Riordan
La batalla del laberinto (Percy Jackson y los dioses del Olimpo 4),Rick Riordan
El Ruiseñor,Kristin Hannah
La maldición del Titán (Percy Jackson y los dioses del Olimpo 3),Rick Riordan
Antología de Relatos de Detectives,Charles Dickens
El Fantasma de la Opera,Gaston Leroux
Mar de los monstruos (Percy Jackson 2),Rick Riordan
Los misterios de Charlotte Holmes,Brittany Cavallaro
Percy Jackson y el ladrón del rayo,Rick Riordan
Sherlock Holmes. Obras Completas (1917-1927),Arthur Conan Doyle
Emma,Jane Austen
Heartstopper 4. Más que palabras,Alice Oseman
Susurros subterráneos,Ben Aaronovitch
En el bosque,Alyssa Wees
Antología de Relatos Románticos,VV. AA
Fairest,Marissa Meyer
El susurro de la marea,Sarah Tolcser
La esposa del prisionero,Maggie Brookes
Pájaro blanco,R. J. Palacio
Link,Natsuki Kizu
Heartstopper 3,Alice Oseman
Heartstopper 2. Mi persona favorita,Alice Oseman
Los Casos de Monsieur Dupin,Edgar Allan Poe
Oliver Twist,Charles Dickens
Ana de las tejas verdes (Ana de las tejas verdes #1),Lucy Montgomery
La abadía de Northanger,Jane Austen
Las Aventuras de Sherlock Holmes,Arthur Conan Doyle
Cuentos Mágicos Irlandeses,Roberto Rosaspini Reynolds
La Rebelion de la Reina,Rebecca Ross
Estudio En Escarlata,Arthur Conan Doyle
Hija de Las Tinieblas,Kiersten White
La Cancion de la Corriente,Sarah Tolcser
Conjuro de luz,Victoria Schwab
Concilio de Sombras,Victoria Schwab
Las Memorias de Sherlock Holmes,Arthur Conan Doyle
Una magia más oscura,Victoria Schwab
Heartsong (Green Creek #3),T. J. Klune
Ravensong (Green Creek #2),T. J. Klune
Wolfsong (Green Creek #1),T. J. Klune
A dos metros de ti,Rachael Lippincott
Jane Eyre,Charlotte Brontë
Todo este tiempo,Rachael Lippincott
El Castillo en Las Nubes,Kerstin Gier
Un monstruo viene a verme,Patrick Ness
Harry Potter y las Reliquias de la Muerte,J.K Rowling
Harry Potter y el misterio del príncipe,J.K Rowling
Harry Potter y la Orden del Fenix,J.K Rowling
Harry Potter Y La Cámara Secreta,J.K Rowling
Harry Potter y la piedra filosofal,J.K Rowling
Harry Potter y el Prisionero de Azkaban,J.K Rowling
La Resistencia de la Reina,Rebecca Ross
Harry Potter y el Cáliz de Fuego,J.K Rowling
Extraña Gracia,Tessa Gratton
Inferno,Dan Brown
Origen,Dan Brown
Trono de Cristal,Sarah J. Maas
Corona de Medianoche,Sarah J. Maas
Carry On,Rainbow Rowell
Despues de ti [yo Antes de ti 2],Jojo Moyes
Origin,Jennifer L. Armentrout
Opposition,Jennifer L. Armentrout
Yo antes de ti / Me Before You,Jojo Moyes
Firelight,Sophie Jordan
Opal,Jennifer L. Armentrout
Heima Es Hogar en Islandes,Laia Soler
Onyx,Jennifer L. Armentrout
El Hijo de la Perdicion,Wendy Alec
Obsidian,Jennifer L. Armentrout
Hechicero (Spellslinger #1),Sebastien de Castell
La casa de las tortugas,Amanda Churchill
Jóvenes e imprudentes,Rachel Hawkins
El juego del escape,Tamara Moss
La reina de espinas (The Rose Bargain #2),Sasha Peyton Smith
Sinfonía del trono mortal (Mousai #3),E.J. Mellow
En este reino soy inmortal (Maggie the Undying #1),Ilona Andrews
De Sangre y Fuego (The Bound and the Broken #1),Ryan Cahill
El caballero y la polilla (The Stonewater Kingdom #1),Rachel Gillig
Un escenario para villanos,Shannon J. Spann
Hechizos y abismos (The Hidden Society #2),Ella Archer
La fuerza de pocos (La Jerarquía #2),James Islington
El canto del pájaro cautivo,Brooke Fast
Las esposas de los Romanov,Clare Mchugh
Mi hogar lleva tu nombre,Cecilia Agüero
Hijas de Shandong,Eve J. Chung
La librería de los viernes,Sawako Natori
Un Fuego en los Huesos (Waxways #3),Scott Reintgen
Un susurro tras la pared  (Waxways #2),Scott Reintgen
La colección de historias perdidas de Emily Wilde (Emily Wilde Enciclopedia de Hadas #3),Heather Fawcett
Los Wycherley (The Wycherleys #1),Annaliese Avery
El cielo ilimitado,Fonda Lee
Orillas infinitas (Drowned Gods #3),Pascale Lacelle
La Caída (Above the Black #3),Marc J. Gregson
Reino de ladrones (Edición Especial Limitada),Leigh Bardugo
Seis de cuervos (Edición Especial Limitada),Leigh Bardugo
La dama de las mentiras,K. M. Enright
La caza nocturna,Alexandra Christo
Manual de Panaderia Mágica Para Usar en Caso de Ataque,T. Kingfisher
Coronas en llamas (Coronas Gemelas #3),Catherine Doyle
Para el trono (Wilderwood #2),Hannah Whitten
Cielos extraños (Drowned Gods #2),Pascale Lacelle
El aliento de Dragón (Marcado por el aliento #1),Fonda Lee
Albaoscura (The Nevernight Chronicle #3),Jay Kristoff
El lamento del hielo,Costa Alcalá
El canto de las ruinas,Costa Alcalá
La música de los prodigios,Costa Alcalá
Everfound (The Skinjacker Trilogy #3),Neal Shusterman
Everwild (The Skinjacker Trilogy #2),Neal Shusterman
Everlost (The Skinjacker Trilogy #1),Neal Shusterman
Casa de corazones,Skyla Arndt
La era de los héroes (La Triada #2),Nira Strauss
La verdad sobre el caso del psiquiatra desaparecido,Tom Mead
El Superviviente de Auschwitz,Josef Lewkowicz
La corte de la muerte,Rick Riordan
Entre serpientes (Above the Black #2),Marc J. Gregson
Cruzanoches,R. M. Gray
Canto de tormentos (Myths of the Empyrieos #1),Braidee Otto
Aurora’s  End (The Aurora Cycle #3),Amie Kaufman
El despertar del Fuegoeterno (Kindred's Curse #1),Penn Cole
Su rostro es el sol (Throne of Khetara #1),Michelle Jabès Corpora
La sombra del zorro (Shadow of the Fox #1),Julie Kagawa
El día después de todos,Juan Arcones
La novia oscura (The Scarlet Veil #2),Shelby Mahurin
Cuatro reinos rotos (The Broken Blades #2),Mai Corland
Una infinidad de sueños,Mara Rutherford
Tiempo de veneno,Mara Rutherford
La señal de la plaga (The Blackthorn Key #2),Kevin Sands
El alma de la espada (Shadow of the Fox #2),Julie Kagawa
La noche del dragón (Shadow of the Fox #3),Julie Kagawa
